ticker,market,2007-01-03,2007-02-01,2007-03-01,2007-04-02,2007-05-01,2007-06-01,2007-07-02,2007-08-01,2007-09-04,2007-10-01,2007-11-01,2007-12-03,2008-01-02,2008-02-01,2008-03-03,2008-04-01,2008-05-01,2008-06-02,2008-07-01,2008-08-01,2008-09-02,2008-10-01,2008-11-03,2008-12-01,2009-01-02,2009-02-02,2009-03-02,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-03,2009-09-01,2009-10-01,2009-11-02,2009-12-01,2010-01-04,2010-02-01,2010-03-01,2010-04-01,2010-05-03,2010-06-01,2010-07-01,2010-08-02,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-03,2011-02-01,2011-03-01,2011-04-01,2011-05-02,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-03,2011-11-01,2011-12-01,2012-01-03,2012-02-01,2012-03-01,2012-04-02,2012-05-01,2012-06-01,2012-07-02,2012-08-01,2012-09-04,2012-10-01,2012-11-01,2012-12-03,2013-01-02,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-03,2013-07-01,2013-08-01,2013-09-03,2013-10-01,2013-11-01,2013-12-02,2014-01-02,2014-02-03,2014-03-03,2014-04-01,2014-05-01,2014-06-02,2014-07-01,2014-08-01,2014-09-02,2014-10-01,2014-11-03,2014-12-01,2015-01-02,2015-02-02,2015-03-02,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-03,2015-09-01,2015-10-01,2015-11-02,2015-12-01,2015-12-31,2016-01-29,2016-03-01,2016-04-01,2016-05-02,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-03,2016-11-01,2016-12-01,2017-01-03,2017-02-01,2017-03-01,2017-04-03,2017-05-01
ABB,NYSE,6.45674,6.52921,6.01361,5.23347,6.05725,6.82175,6.94634,7.07113,7.37982,6.99704,7.67484,7.55592,6.05373,5.4957,5.26151,5.26053,5.93987,6.24615,5.10839,4.71024,4.46733,3.72902,2.54751,2.26293,3.14485,2.54475,2.24453,2.88292,2.89298,3.45629,2.89609,3.40326,3.29215,3.33287,3.21127,3.27119,3.31747,3.12153,3.40118,3.62197,3.1819,2.72315,2.85958,3.37004,3.22513,3.48503,3.34817,3.21392,3.48541,3.68177,3.70093,3.52198,3.84918,3.76371,3.73742,3.40209,3.03685,2.37538,2.61842,2.70243,2.87735,3.1314,3.00893,2.80152,2.4713,2.11541,2.44053,2.58024,2.56252,2.61521,2.52684,2.68575,2.87774,2.97145,3.07662,3.05897,2.98369,2.95587,2.9198,3.11932,3.04209,3.34235,3.29195,3.30402,3.39166,3.17976,3.26427,3.21194,2.87336,2.80555,2.74939,2.95123,2.94949,2.84034,2.88939,2.91157,2.77217,2.57097,2.794,2.94031,3.12052,3.05907,2.94614,3.06965,2.8816,2.67284,2.87029,2.76461,2.6353,2.57139,2.71991,2.87982,3.0964,2.99311,2.85406,3.52354,3.70626,3.78183,3.2611,3.27649,3.38629,3.77934,3.6654,3.71933,3.65699
ABT,NYSE,5.37664,5.80484,5.89437,6.00368,6.13276,6.07641,5.47464,5.13802,5.19789,5.46602,5.3581,5.66117,4.85235,5.00363,4.62072,4.74073,4.59825,4.77394,4.40783,4.55907,4.82936,4.675,4.49133,4.02215,4.73529,4.91299,4.15885,4.02208,3.57612,3.87527,3.62699,3.48546,3.51066,3.52918,3.69085,3.96097,3.69961,3.62353,3.6665,3.91883,3.76418,3.47442,3.60268,3.86401,3.90264,3.79739,3.65439,3.39768,3.30556,3.12653,3.29766,3.11555,3.31875,3.28131,3.13335,2.97816,3.0673,3.17526,3.34051,3.47983,3.64913,3.49086,3.69016,3.78548,3.84668,3.73133,4.14204,4.23625,4.22553,4.04205,3.82965,3.75225,1.88392,1.9909,1.96018,2.05994,2.15211,2.5567,2.41015,2.53469,2.27954,2.33838,2.55851,2.49172,2.48949,2.33451,2.3468,2.29548,2.30742,2.55867,2.64738,2.70203,2.69424,2.62725,2.76187,2.92014,2.9602,2.98196,3.26578,3.17379,3.22912,3.33465,3.37417,3.44095,2.82485,2.64267,2.94545,3.17121,3.13284,2.64138,2.72414,2.92224,2.69089,2.80209,2.80492,3.21282,3.01227,3.03007,2.78083,2.66557,3.2479,3.5207,3.85194,3.75731,3.67366
ABBV,NYSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.47219,17.43838,17.80577,19.36454,21.45075,23.24795,22.30967,24.2613,19.04295,20.47821,21.89112,21.47397,23.08393,21.02778,17.73073,18.44222,18.26877,18.35012,19.27864,17.7842,16.81509,17.47462,19.31277,23.67727,22.60952,20.82862,55.29126,52.21851,58.82127,80.45581,82.35511,83.82166,17.96915,16.3742,18.82454,19.53853,19.61136,18.1898,23.0981,23.54087,25.18898,22.03776,21.99567,23.47935,18.44731,18.21897,16.2654,14.56377,15.37743,15.00291,21.5672,22.32482,22.82261
ANF,NYSE,5.17758,5.12158,4.86101,4.73188,5.12949,5.14659,4.59535,4.09845,4.56809,4.76412,4.53097,4.95201,4.8304,4.36887,4.13032,4.09658,3.93821,3.75174,3.32744,2.75304,2.75926,1.92831,1.30525,0.79625,1.17769,0.87214,0.98755,1.15508,1.28526,1.59938,1.26155,1.51759,1.59922,1.60131,1.6312,1.98191,1.73658,1.54367,1.77605,2.25085,2.18857,1.69751,1.56393,1.88354,1.77456,1.82166,2.02312,2.39923,2.74139,2.34082,2.67252,2.74037,3.25324,3.4115,3.13131,3.46966,2.88669,2.75534,3.35051,2.13118,2.16797,2.1533,2.15306,2.28774,2.58496,1.56718,1.65913,1.65648,1.70177,1.56925,1.59004,2.18433,2.27572,2.40935,2.17516,2.15965,2.11351,2.14238,2.03332,2.2088,1.49929,1.62934,1.6744,1.54372,1.46001,1.53487,1.72092,1.62509,1.59236,1.62266,2.03348,1.76454,1.9269,1.68109,1.51609,1.30874,1.42038,1.25886,1.21707,1.10854,1.12667,1.02123,1.15052,1.03498,1.05798,1.04609,1.1036,1.34721,1.43422,1.39682,1.56736,1.6526,1.42482,1.02232,0.98278,1.1214,0.93777,0.86788,0.79943,0.78719,0.67721,0.63527,0.65592,0.62136,0.65582
ABM,NYSE,2.0875,2.32459,2.38406,2.37767,2.43001,2.56339,2.23117,2.1126,1.96291,1.72135,1.89328,1.67355,1.67046,1.68016,1.6454,1.91604,1.74598,1.78423,1.82107,1.93158,2.08537,1.71244,1.32049,1.2065,1.49387,1.1702,0.92347,1.23759,1.3607,1.30346,1.44294,1.64301,1.70188,1.33724,1.39766,1.40654,1.60551,1.4618,1.57815,1.56777,1.63391,1.56197,1.5446,1.59962,1.51512,1.58591,1.59895,1.66667,1.92233,1.87508,1.82729,1.79952,1.6706,1.569,1.65184,1.50958,1.36358,1.21407,1.27656,1.4338,1.40894,1.49484,1.53488,1.62954,1.50776,1.35344,1.27641,1.1956,1.31779,1.24603,1.22425,1.23468,1.30982,1.42339,1.46066,1.38839,1.4126,1.56673,1.55832,1.6476,1.5499,1.66203,1.72096,1.72529,1.71766,1.58362,1.71879,1.745,1.62102,1.6524,1.61878,1.4559,1.58508,1.47039,1.59185,1.57873,1.64128,1.69399,1.80091,1.83043,1.84518,1.86411,1.84126,1.84618,1.74732,1.54737,1.62869,1.7089,1.58283,1.67052,1.74871,1.80227,1.82643,1.92086,2.04333,2.0962,2.17248,2.23088,2.14954,2.39665,2.33128,2.29357,2.35221,2.604,2.66229
AKR,NYSE,3.29432,3.43137,3.62457,3.42118,3.50254,3.77086,3.52123,3.03992,3.35653,3.60941,3.29891,3.40603,3.43455,3.3931,3.11733,3.39303,3.45995,3.30153,2.98642,2.87572,3.03775,3.19794,2.23588,1.4744,2.0703,1.79257,1.48768,1.48925,2.17426,2.29039,1.69785,1.74951,1.88037,1.79654,2.00529,2.07477,2.1615,2.08503,2.16922,2.31197,2.53735,2.29279,2.10641,2.41732,2.34738,2.42006,2.44201,2.33422,2.35927,2.36692,2.44554,2.36108,2.6381,2.52155,2.42407,2.44175,2.42066,2.12568,2.36512,2.43933,2.22958,2.38468,2.42524,2.47278,2.53752,2.50491,2.42214,2.4719,2.63357,2.4115,2.71383,2.72216,2.12948,2.25447,2.37123,2.44475,2.47699,2.14168,2.02978,2.13443,1.83285,1.98578,2.12512,2.04386,1.97608,1.99734,2.12139,2.13992,2.21527,2.22257,2.27055,2.09853,2.16681,2.08423,2.57856,2.56325,2.63693,2.90736,2.23019,2.26278,1.99815,2.01608,1.90068,2.03551,1.83007,1.91692,2.11916,2.16617,2.14034,2.20168,2.20522,2.30732,2.13663,2.19608,2.35631,2.20127,2.2818,2.21377,1.75997,1.82507,1.82172,1.77793,1.67199,1.60972,1.57863
ACN,NYSE,17.22483,17.19367,14.24591,15.59322,15.54132,16.75919,17.27911,16.82105,15.24432,15.0674,14.06852,13.10106,13.85002,13.25315,12.39613,12.74797,13.53547,12.21569,12.09881,12.32875,12.07701,10.6437,9.13287,10.11007,11.7139,11.0668,7.1553,7.10647,7.67447,6.51877,7.02694,8.69637,8.20157,7.94525,9.30672,9.3425,9.47082,10.40361,9.61766,10.03749,10.42427,8.6477,9.01754,9.28665,9.10056,10.89962,11.04403,10.54594,11.64607,12.63999,10.00371,10.72916,11.26675,10.67717,11.40609,10.96707,9.42092,9.1838,10.25903,10.69854,9.77209,10.72162,9.23653,10.13573,9.95514,9.15228,10.01486,9.92215,9.96721,11.47133,11.31213,10.29139,10.478,11.16307,11.32234,9.4873,9.90285,10.17507,9.14965,9.36675,9.14525,9.23314,9.76382,10.26061,10.97745,10.49549,11.08547,9.98942,9.99556,10.17266,9.56884,9.22098,9.50452,9.3255,9.23772,9.83215,10.62106,10.22941,10.86387,10.19967,10.13884,10.44272,10.78915,11.34966,10.14882,10.79289,11.37711,11.47503,11.52829,11.64302,11.3368,11.04476,10.82811,11.26438,10.26887,10.17711,10.37366,10.8897,9.8714,10.02841,10.11104,9.78505,10.72375,9.46943,9.76002
ACCO,NYSE,3.70239,3.31296,3.02706,3.32311,3.31483,3.48472,3.14828,2.78919,3.06543,2.86796,2.49226,2.04521,1.94531,1.74394,1.73374,1.7332,1.78553,1.79557,1.46822,1.17059,1.15332,1.10581,0.45417,0.1443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02719,1.56408,1.24514,1.03662,1.26624,1.16006,1.33287,1.47512,1.30511,1.15096,1.14741,1.27503,1.17372,1.2168,1.23292,1.24439,1.04176,1.05792,1.19149,1.005,0.9683,1.03653,0.96624,0.95427,1.0609,1.00636,1.19688,1.01442,1.28279,1.33279,1.35124,1.25265,1.24254,1.30572,1.50798,1.37002,1.45934,1.39544,1.29535,1.24253,1.54926,1.48386,1.34263,1.14302,1.39346,1.66239,1.72012,1.77949,1.80725,1.96996,1.55269,1.44427,1.63649,1.88512,1.96709,1.90761,2.14788,2.00881,2.19503
ATV,NYSE,,,,,,14.82,3.19001,2.24218,1.8018,2.8193,1.93543,1.305,1.20803,1.13915,1.09121,1.00234,0.86944,0.96756,0.8722,0.90795,0.77514,0.70014,0.4593,0.23605,0.52603,0.5015,0.46606,0.41942,0.42598,0.58326,0.51456,0.5638,0.43085,0.64801,0.66257,0.62098,0.71126,0.90034,0.92798,0.71816,0.62693,0.57916,0.5253,0.58496,0.65626,0.5944,0.7345,0.69417,0.69195,0.7915,0.78987,0.79712,0.81971,0.72612,0.86737,0.74591,0.63223,0.69893,0.71716,0.64722,0.65334,0.65639,0.68692,0.68481,0.64471,0.58388,0.4708,0.53124,0.43262,0.42472,0.43433,0.38343,0.37704,0.40463,0.43681,0.42608,0.34025,0.36154,0.39465,0.37613,0.36523,0.37045,0.34436,0.2864,0.29384,0.28826,0.31058,0.3236,0.4226,0.35353,0.39281,0.44955,0.40765,0.51261,0.53214,0.64735,0.41124,0.24462,0.27593,0.22287,0.32103,0.40692,0.4631,0.30367,0.27333,0.19189,0.20346,0.80593,0.22835,0.28249,0.24849,0.1763,0.2239,0.11717,0.11266,0.13092,0.26502,0.35279,0.25991,0.2514,0.27092,0.29833,0.27881,0.30418,0.35597
ATU,NYSE,3.29018,3.47189,3.37529,3.32875,3.46224,3.44949,3.87587,3.77695,3.37444,3.69989,3.7784,3.1588,3.44644,2.89005,2.70361,3.14048,3.40641,3.3727,2.88705,2.81817,2.78345,1.96064,1.6274,1.49552,1.82958,1.58875,0.91497,1.0194,1.20836,1.25334,1.12072,1.45361,1.24151,1.45115,1.41085,1.44252,1.64759,1.48237,1.67269,1.79941,2.13838,1.77584,1.68632,1.91538,1.91476,2.12945,2.07949,2.13706,2.32673,2.48244,2.4314,2.50492,2.42179,1.88011,2.13574,1.90127,1.46692,1.37993,1.59003,1.67144,1.72653,1.95605,2.0101,2.1115,2.10103,1.68249,1.83329,1.85383,1.96156,1.99205,1.97891,1.89305,1.88312,1.99489,2.02556,2.04881,1.98203,2.2024,2.1848,2.57229,2.53069,2.75014,2.57185,2.60298,2.44131,2.05515,2.15616,2.16557,2.13558,2.21837,2.15908,1.95713,2.01406,1.79493,2.02155,1.76469,1.6711,1.66236,1.75484,1.65946,2.13093,2.0786,2.05273,1.98378,1.79792,1.6605,2.07294,2.13215,2.09714,2.06383,2.16222,2.20741,3.18736,3.28527,2.73772,2.6672,2.67538,2.654,2.47681,3.005,3.03909,3.12095,3.18254,3.00118,3.13188
